r_large_um,r_small_um,radius_ratio,collision_efficiency
6,0,0,0.001
8,0,0,0.001
10,0,0,0.001
15,0,0,0.001
20,0,0,0.001
25,0,0,0.001
30,0,0,0.001
40,0,0,0.001
50,0,0,0.001
60,0,0,0.001
70,0,0,0.001
100,0,0,0.001
150,0,0,0.001
200,0,0,0.001
300,0,0,0.001
6,0.3,0.05,0.003
8,0.4,0.05,0.003
10,0.5,0.05,0.003
15,0.75,0.05,0.004
20,1,0.05,0.005
25,1.25,0.05,0.005
30,1.5,0.05,0.005
40,2,0.05,0.01
50,2.5,0.05,0.1
60,3,0.05,0.05
70,3.5,0.05,0.2
100,5,0.05,0.5
150,7.5,0.05,0.77
200,10,0.05,0.87
300,15,0.05,0.97
6,0.6,0.1,0.007
8,0.8,0.1,0.007
10,1,0.1,0.007
15,1.5,0.1,0.008
20,2,0.1,0.009
25,2.5,0.1,0.01
30,3,0.1,0.01
40,4,0.1,0.07
50,5,0.1,0.4
60,6,0.1,0.43
70,7,0.1,0.58
100,10,0.1,0.79
150,15,0.1,0.93
200,20,0.1,0.96
300,30,0.1,1
6,0.9,0.15,0.009
8,1.2,0.15,0.009
10,1.5,0.15,0.009
15,2.25,0.15,0.012
20,3,0.15,0.015
25,3.75,0.15,0.01
30,4.5,0.15,0.02
40,6,0.15,0.28
50,7.5,0.15,0.6
60,9,0.15,0.64
70,10.5,0.15,0.75
100,15,0.15,0.91
150,22.5,0.15,0.97
200,30,0.15,0.98
300,45,0.15,1
6,1.2,0.2,0.014
8,1.6,0.2,0.014
10,2,0.2,0.014
15,3,0.2,0.015
20,4,0.2,0.016
25,5,0.2,0.03
30,6,0.2,0.06
40,8,0.2,0.5
50,10,0.2,0.7
60,12,0.2,0.77
70,14,0.2,0.84
100,20,0.2,0.95
150,30,0.2,0.97
200,40,0.2,1
300,60,0.2,1
6,1.5,0.25,0.017
8,2,0.25,0.017
10,2.5,0.25,0.017
15,3.75,0.25,0.02
20,5,0.25,0.022
25,6.25,0.25,0.06
30,7.5,0.25,0.1
40,10,0.25,0.62
50,12.5,0.25,0.78
60,15,0.25,0.84
70,17.5,0.25,0.88
100,25,0.25,0.95
150,37.5,0.25,1
200,50,0.25,1
300,75,0.25,1
6,1.8,0.3,0.03
8,2.4,0.3,0.03
10,3,0.3,0.024
15,4.5,0.3,0.022
20,6,0.3,0.032
25,7.5,0.3,0.062
30,9,0.3,0.2
40,12,0.3,0.68
50,15,0.3,0.83
60,18,0.3,0.87
70,21,0.3,0.9
100,30,0.3,0.95
150,45,0.3,1
200,60,0.3,1
300,90,0.3,1
6,2.1,0.35,0.025
8,2.8,0.35,0.025
10,3.5,0.35,0.025
15,5.25,0.35,0.036
20,7,0.35,0.043
25,8.75,0.35,0.13
30,10.5,0.35,0.27
40,14,0.35,0.74
50,17.5,0.35,0.86
60,21,0.35,0.89
70,24.5,0.35,0.92
100,35,0.35,1
150,52.5,0.35,1
200,70,0.35,1
300,105,0.35,1
6,2.4,0.4,0.027
8,3.2,0.4,0.027
10,4,0.4,0.027
15,6,0.4,0.04
20,8,0.4,0.052
25,10,0.4,0.2
30,12,0.4,0.4
40,16,0.4,0.78
50,20,0.4,0.88
60,24,0.4,0.9
70,28,0.4,0.94
100,40,0.4,1
150,60,0.4,1
200,80,0.4,1
300,120,0.4,1
6,2.7,0.45,0.03
8,3.6,0.45,0.03
10,4.5,0.45,0.03
15,6.75,0.45,0.047
20,9,0.45,0.064
25,11.25,0.45,0.25
